author_name,rating,review_text,review_date,app_version,platform
Robert Super,1,Disappointed in the service related to having our accounts breached. I've had 2 replacement credit cards lost in the mail. In expediting my card they cancelled BOTH of our cards. We've been dealing with this for over a month and will likely find a new bank over this.,2025-03-10T20:24:21-07:00,Unknown,android
Mike Jones,5,Great 👍,2025-03-09T07:23:27-07:00,2024.10.00,android
Evin Pearsall,5,Easy to use app. Branch staff are helpful and customers are members.,2025-03-01T16:47:20-08:00,2024.10.00,android
Jodie Kleinowski,5,Great app. Easy to use,2025-03-01T10:20:10-08:00,Unknown,android
Uhura Goldring,1,Want to make a transfer? You've been logged out due to inactivity. Want to use online bill pay? You've been logged out due to inactivity. Check deposit? Logged out due to inactivity.,2025-03-01T08:40:30-08:00,2024.10.00,android
Fredric Mertell,5,Great bank 🤙,2025-02-28T20:41:31-08:00,2024.10.00,android
Collin Summers,5,Easy way to keep track of your accounts,2025-02-28T12:08:27-08:00,2024.10.00,android
Cubanisms,5,Tremendous!,2025-02-27T06:40:25-08:00,Unknown,android
brad simmons,5,"Great app,easy to use",2025-02-26T12:52:58-08:00,2024.10.00,android
Tony Maddox jr,5,Best bank ever,2025-02-25T14:04:10-08:00,2024.10.00,android
Frankie Davis,4,Easy to navigate and understand,2025-02-21T11:57:25-08:00,2024.10.00,android
Heavonsent REVIEWS,5,Love love love,2025-02-19T21:41:07-08:00,2024.10.00,android
Kim Hanes,5,Your app it's awesome even us old people can use it very easily! Thank you so much. Your customer service is the best.,2025-02-16T17:56:57-08:00,2024.10.00,android
James Coates,5,Account monitoring is excellent,2025-02-14T11:35:18-08:00,2024.10.00,android
Stacey Vierra,5,Love love love!!,2025-02-14T06:27:07-08:00,2024.10.00,android
Pam Canupp,5,Love this Credit Union!,2025-02-13T08:33:02-08:00,2024.10.00,android
Anthony Dume,5,Good,2025-02-13T07:01:51-08:00,2024.10.00,android
Theathria Coney,5,"Simple, easy and fast",2025-02-07T05:46:04-08:00,2024.10.00,android
Taffny Gordon,5,"Easy, fast, perfect!!! Love the bank and the app so much",2025-02-06T06:35:13-08:00,2024.10.00,android
Heidi Spear,5,"I have loved this bank from the beginning!! Very friendly , helpful people !!",2025-02-05T16:52:07-08:00,2024.10.00,android
Vickie Smith,5,Very accurate,2025-02-05T13:37:00-08:00,2024.10.00,android
Dawn Henry,5,Easy to navigate,2025-02-04T07:32:27-08:00,2024.10.00,android
Kate Karnes,2,"was working well until the last update. now it hangs after using it to make a transfer, refuses to return to accounts or exit. February 2025 and the app still hangs.",2025-02-03T13:02:14-08:00,2024.10.00,android
Syncere Kyng,5,Does everything you need it to,2025-02-01T18:32:38-08:00,Unknown,android
Eddy Tankersley,5,Really good service.,2025-02-01T10:37:38-08:00,2024.10.00,android
Robert Raps,5,Great service ...... ........ ......,2025-01-31T23:51:48-08:00,Unknown,android
Mary Colling,5,I enjoy my remote banking with Community America 🇺🇸,2025-01-31T14:37:12-08:00,2024.04.00,android
Leslie McCormick,5,"It's pleasant, easy,",2025-01-30T21:12:11-08:00,2024.10.00,android
Vicki Conway,5,I feel secure on CACUs website. I think the IT dept. Should be commended.,2025-01-28T21:48:48-08:00,2024.10.00,android
Maxine Ricketts,5,Easily accessible and no issue navigating,2025-01-28T21:46:01-08:00,2024.10.00,android
Coko Reymond,5,Very convenient,2025-01-28T09:38:32-08:00,2024.10.00,android
Richard Farias,5,Puedo realizar todas mis transacciones con facilidad,2025-01-25T14:47:23-08:00,2024.10.00,android
Francisco Villalobos,5,Fast service.,2025-01-25T11:23:54-08:00,2024.10.00,android
Terry Bolds,5,I really like the app it works well for me since I am on Social Security at the end of the month things tend to get short and I have to move the money that I was planning on saving to pay bills,2025-01-24T12:04:01-08:00,2024.10.00,android
Elisa Phillipps,5,LOVE CACU!!,2025-01-24T11:28:37-08:00,2024.10.00,android
Dessa Longgrear,5,Easy to use,2025-01-24T06:18:05-08:00,2024.10.00,android
Harry Griffin,5,Works great and simple to use.,2025-01-23T17:29:34-08:00,2024.10.00,android
